2023-08-29 11:55:00: Sum=2823, StdDev=1.8160365879818856
2023-08-29 12:10:00: Sum=2804, StdDev=1.7326864889921092
2023-08-29 12:25:00: Sum=2891, StdDev=1.7933412501546304
2023-08-29 12:40:00: Sum=2744, StdDev=1.7466949389852091
2023-08-29 12:55:00: Sum=2864, StdDev=1.7789246300802553
2023-08-29 13:10:00: Sum=2836, StdDev=1.7099216645113986
2023-08-29 13:25:00: Sum=2749, StdDev=1.7777427079874266
2023-08-29 13:40:00: Sum=2779, StdDev=1.7301462865432815
2023-08-29 13:55:00: Sum=2843, StdDev=1.7714648329337468
2023-08-29 14:10:00: Sum=2790, StdDev=1.7394124167533
2023-08-29 14:25:00: Sum=2859, StdDev=1.7885158341174643
2023-08-29 14:40:00: Sum=2787, StdDev=1.7167766955030064
2023-08-29 14:55:00: Sum=2828, StdDev=1.6818625771432878
2023-08-29 15:10:00: Sum=2799, StdDev=1.706233669030515
2023-08-29 15:25:00: Sum=2874, StdDev=1.7864800897606194
2023-08-29 15:40:00: Sum=2827, StdDev=1.766691474319186
2023-08-29 15:55:00: Sum=2838, StdDev=1.7672451882960543
2023-08-29 16:10:00: Sum=2770, StdDev=1.8234751789906716
2023-08-29 16:25:00: Sum=2822, StdDev=1.7408370343736699
2023-08-29 16:40:00: Sum=2764, StdDev=1.7465677099477415
2023-08-29 16:55:00: Sum=2727, StdDev=1.676699800865445
2023-08-29 17:10:00: Sum=2808, StdDev=1.8058669816892812
2023-08-29 17:25:00: Sum=2786, StdDev=1.7002556089607437
2023-08-29 17:40:00: Sum=2829, StdDev=1.6946025427154823
2023-08-29 17:55:00: Sum=2792, StdDev=1.7790745270616142
2023-08-29 18:10:00: Sum=2777, StdDev=1.8087479470071195
2023-08-29 18:25:00: Sum=2843, StdDev=1.7833423329644842
2023-08-29 18:40:00: Sum=2772, StdDev=1.7550688495516824
2023-08-29 18:55:00: Sum=2812, StdDev=1.8159974982307234
2023-08-29 19:10:00: Sum=2841, StdDev=1.8531984363376859
2023-08-29 19:25:00: Sum=2840, StdDev=1.7858151646990617
2023-08-29 19:40:00: Sum=2872, StdDev=1.739453582431017
2023-08-29 19:55:00: Sum=2735, StdDev=1.8456070632988932
2023-08-29 20:10:00: Sum=2824, StdDev=1.7265622734064987
2023-08-29 20:25:00: Sum=2849, StdDev=1.745576066079372
2023-08-29 20:40:00: Sum=2848, StdDev=1.7593124358434975
2023-08-29 20:55:00: Sum=2768, StdDev=1.784146924138699
2023-08-29 21:10:00: Sum=2886, StdDev=1.8262164895396893
2023-08-29 21:25:00: Sum=2802, StdDev=1.7443368685867737
2023-08-29 21:40:00: Sum=2727, StdDev=1.7745703705404303
2023-08-29 21:55:00: Sum=2850, StdDev=1.7829438827088442
2023-08-29 22:10:00: Sum=2819, StdDev=1.7648624609789965
2023-08-29 22:25:00: Sum=2776, StdDev=1.784993688822401
2023-08-29 22:40:00: Sum=2826, StdDev=1.8270680824144943
2023-08-29 22:55:00: Sum=2806, StdDev=1.7979975143832638
2023-08-29 23:10:00: Sum=2673, StdDev=1.6519987893458032
2023-08-29 23:25:00: Sum=2839, StdDev=1.8004728459867987
2023-08-29 23:40:00: Sum=2834, StdDev=1.7676251767363178
2023-08-29 23:55:00: Sum=2807, StdDev=1.7519128875124181
2023-08-30 00:10:00: Sum=2892, StdDev=1.7685650178102648
2023-08-30 00:25:00: Sum=2887, StdDev=1.8361026222698373
2023-08-30 00:40:00: Sum=2799, StdDev=1.741681818115914
2023-08-30 00:55:00: Sum=2828, StdDev=1.7956105602136052
2023-08-30 01:10:00: Sum=2733, StdDev=1.785058355722113
2023-08-30 01:25:00: Sum=2814, StdDev=1.7887177281815907
2023-08-30 01:40:00: Sum=2828, StdDev=1.7351898889220407
2023-08-30 01:55:00: Sum=2789, StdDev=1.8166510362902175
2023-08-30 02:10:00: Sum=2812, StdDev=1.7307873039047936
2023-08-30 02:25:00: Sum=2782, StdDev=1.7671473839335559
2023-08-30 02:40:00: Sum=2831, StdDev=1.770728733294171
2023-08-30 02:55:00: Sum=2731, StdDev=1.6679768923999658
2023-08-30 03:10:00: Sum=2786, StdDev=1.7498514928169133
2023-08-30 03:25:00: Sum=2821, StdDev=1.8296120481986284
2023-08-30 03:40:00: Sum=2853, StdDev=1.8095395362725106
2023-08-30 03:55:00: Sum=2844, StdDev=1.8119847926759454
2023-08-30 04:10:00: Sum=2741, StdDev=1.7259883552530522
2023-08-30 04:25:00: Sum=2808, StdDev=1.8448245926856508
2023-08-30 04:40:00: Sum=2802, StdDev=1.7328332611971389
2023-08-30 04:55:00: Sum=2750, StdDev=1.7433117341626356
2023-08-30 05:10:00: Sum=2959, StdDev=1.806305485285598
2023-08-30 05:25:00: Sum=2889, StdDev=1.8394775828418726
2023-08-30 05:40:00: Sum=2736, StdDev=1.6880494990109476
2023-08-30 05:55:00: Sum=2705, StdDev=1.7052116917204874
2023-08-30 06:10:00: Sum=2809, StdDev=1.6818636782149632
2023-08-30 06:25:00: Sum=2823, StdDev=1.769554243933263
2023-08-30 06:40:00: Sum=2813, StdDev=1.7741389843533872
2023-08-30 06:55:00: Sum=2951, StdDev=1.839987587183037
2023-08-30 07:10:00: Sum=2980, StdDev=1.7634842055459063
2023-08-30 07:25:00: Sum=2809, StdDev=1.7943735796120819
2023-08-30 07:40:00: Sum=2794, StdDev=1.8129724586442204
2023-08-30 07:55:00: Sum=2890, StdDev=1.8474874496307707
