2022-03-23 13:10:00: Sum=3198, StdDev=1.8173362680338252
2022-03-23 13:25:00: Sum=3205, StdDev=1.9257434030319274
2022-03-23 13:40:00: Sum=3258, StdDev=1.9073075845867709
2022-03-23 13:55:00: Sum=3235, StdDev=1.9387774562056774
2022-03-23 14:10:00: Sum=3164, StdDev=1.8674945254187858
2022-03-23 14:25:00: Sum=3213, StdDev=1.888735614696303
2022-03-23 14:40:00: Sum=3078, StdDev=1.8230743265155154
2022-03-23 14:55:00: Sum=3224, StdDev=1.9226473518318883
2022-03-23 15:10:00: Sum=3084, StdDev=1.8517739242862954
2022-03-23 15:25:00: Sum=3239, StdDev=1.9241733835277275
2022-03-23 15:40:00: Sum=3176, StdDev=1.9357022523819472
2022-03-23 15:55:00: Sum=3158, StdDev=1.8174857141082716
2022-03-23 16:10:00: Sum=3345, StdDev=1.922021505256033
2022-03-23 16:25:00: Sum=3164, StdDev=1.8633250513299016
2022-03-23 16:40:00: Sum=3289, StdDev=1.9628585227282462
2022-03-23 16:55:00: Sum=3092, StdDev=1.8328066583558615
2022-03-23 17:10:00: Sum=3154, StdDev=1.8929642311060486
2022-03-23 17:25:00: Sum=3088, StdDev=1.8805226486534976
2022-03-23 17:40:00: Sum=3355, StdDev=1.9653401050187373
2022-03-23 17:55:00: Sum=3236, StdDev=1.9375764421399746
2022-03-23 18:10:00: Sum=3167, StdDev=1.8326298313531382
2022-03-23 18:25:00: Sum=3229, StdDev=1.8761857156225696
2022-03-23 18:40:00: Sum=3184, StdDev=1.8902426521350684
2022-03-23 18:55:00: Sum=3310, StdDev=1.942093817265718
2022-03-23 19:10:00: Sum=3182, StdDev=1.8701937577048064
2022-03-23 19:25:00: Sum=3097, StdDev=1.8996721614498788
2022-03-23 19:40:00: Sum=3182, StdDev=1.84747943071461
2022-03-23 19:55:00: Sum=3304, StdDev=1.9710822996766941
2022-03-23 20:10:00: Sum=3189, StdDev=1.8303946144054415
2022-03-23 20:25:00: Sum=3322, StdDev=1.8909518146774915
2022-03-23 20:40:00: Sum=3097, StdDev=1.9182975348205933
2022-03-23 20:55:00: Sum=3262, StdDev=1.8327460338768593
2022-03-23 21:10:00: Sum=3119, StdDev=1.8299763878932738
2022-03-23 21:25:00: Sum=3146, StdDev=1.8609980065134173
2022-03-23 21:40:00: Sum=3266, StdDev=1.8779565989804772
2022-03-23 21:55:00: Sum=3132, StdDev=1.9086469902350547
2022-03-23 22:10:00: Sum=3225, StdDev=1.9929737691310552
2022-03-23 22:25:00: Sum=3226, StdDev=1.8710015803254274
2022-03-23 22:40:00: Sum=3127, StdDev=1.7398634116958793
2022-03-23 22:55:00: Sum=3094, StdDev=1.8491786631894338
2022-03-23 23:10:00: Sum=3229, StdDev=1.8342620543288293
2022-03-23 23:25:00: Sum=3114, StdDev=1.9170463392069235
2022-03-23 23:40:00: Sum=3150, StdDev=1.8776462807343548
2022-03-23 23:55:00: Sum=3131, StdDev=1.872787254005492
2022-03-24 00:10:00: Sum=3182, StdDev=1.8802665952294644
2022-03-24 00:25:00: Sum=3264, StdDev=1.9834201661664015
2022-03-24 00:40:00: Sum=3148, StdDev=1.8894430559634219
2022-03-24 00:55:00: Sum=3168, StdDev=1.8350416283500977
2022-03-24 01:10:00: Sum=3208, StdDev=1.8883450197408964
2022-03-24 01:25:00: Sum=3338, StdDev=1.9680020576120931
2022-03-24 01:40:00: Sum=3188, StdDev=1.8065914976845687
2022-03-24 01:55:00: Sum=3159, StdDev=1.859781946597205
2022-03-24 02:10:00: Sum=3193, StdDev=1.871703192150447
2022-03-24 02:25:00: Sum=3266, StdDev=1.9488027346977508
2022-03-24 02:40:00: Sum=3239, StdDev=1.905022277177674
2022-03-24 02:55:00: Sum=3218, StdDev=1.8558802111194275
2022-03-24 03:10:00: Sum=3173, StdDev=1.877472361750181
2022-03-24 03:25:00: Sum=3197, StdDev=1.9219624101872648
2022-03-24 03:40:00: Sum=3188, StdDev=1.905954282871198
2022-03-24 03:55:00: Sum=3183, StdDev=1.848660175490467
2022-03-24 04:10:00: Sum=3265, StdDev=1.9161029766909583
2022-03-24 04:25:00: Sum=3184, StdDev=1.9338262462323972
2022-03-24 04:40:00: Sum=3183, StdDev=1.9136323808111337
2022-03-24 04:55:00: Sum=3240, StdDev=1.9293061504650375
2022-03-24 05:10:00: Sum=3230, StdDev=1.8660382540109135
2022-03-24 05:25:00: Sum=3167, StdDev=1.8846393374061694
2022-03-24 05:40:00: Sum=3108, StdDev=1.931332297779034
2022-03-24 05:55:00: Sum=3142, StdDev=1.9341747849575104
2022-03-24 06:10:00: Sum=3346, StdDev=1.9562763823014928
2022-03-24 06:25:00: Sum=3157, StdDev=1.895299904604826
2022-03-24 06:40:00: Sum=3153, StdDev=1.9422180905117508
2022-03-24 06:55:00: Sum=3241, StdDev=1.966327340469166
2022-03-24 07:10:00: Sum=3233, StdDev=1.8670670866824362
2022-03-24 07:25:00: Sum=3389, StdDev=2.010951190695096
2022-03-24 07:40:00: Sum=3212, StdDev=1.8119139324938787
2022-03-24 07:55:00: Sum=3280, StdDev=1.9299459469178641
2022-03-24 08:10:00: Sum=3256, StdDev=1.8992734153283037
2022-03-24 08:25:00: Sum=3179, StdDev=1.855941077715189
2022-03-24 08:40:00: Sum=3260, StdDev=1.893132488043019
2022-03-24 08:55:00: Sum=3203, StdDev=1.8949872145241182
2022-03-24 09:10:00: Sum=3141, StdDev=1.919175170049189
2022-03-24 09:25:00: Sum=3233, StdDev=1.8569226500840206
2022-03-24 09:40:00: Sum=3179, StdDev=1.8135494833047876
2022-03-24 09:55:00: Sum=3246, StdDev=1.8692719913853568
2022-03-24 10:10:00: Sum=3209, StdDev=1.932509083555545
2022-03-24 10:25:00: Sum=3260, StdDev=1.8724777273725242
2022-03-24 10:40:00: Sum=3214, StdDev=1.877483211609772
2022-03-24 10:55:00: Sum=3234, StdDev=1.9244508596249246
2022-03-24 11:10:00: Sum=3155, StdDev=1.8417902589667183
2022-03-24 11:25:00: Sum=3136, StdDev=1.9603804115591166
2022-03-24 11:40:00: Sum=3149, StdDev=1.8162840235824866
2022-03-24 11:55:00: Sum=3297, StdDev=1.9284392076956374
2022-03-24 12:10:00: Sum=3190, StdDev=1.8877447515258994
2022-03-24 12:25:00: Sum=3273, StdDev=1.8577734582618577
2022-03-24 12:40:00: Sum=3240, StdDev=1.8773503787104964
2022-03-24 12:55:00: Sum=3206, StdDev=1.8485776981703634
2022-03-24 13:10:00: Sum=3211, StdDev=1.8471796987586704
2022-03-24 13:25:00: Sum=3365, StdDev=1.9826017947493164
2022-03-24 13:40:00: Sum=3230, StdDev=1.8844064461577785
2022-03-24 13:55:00: Sum=3232, StdDev=1.8243808352695348
2022-03-24 14:10:00: Sum=3211, StdDev=1.844169658245971
2022-03-24 14:25:00: Sum=3154, StdDev=1.8254321321637248
2022-03-24 14:40:00: Sum=3244, StdDev=1.9570903068422272
2022-03-24 14:55:00: Sum=3189, StdDev=1.8593039318817972
2022-03-24 15:10:00: Sum=3252, StdDev=1.9088798344113287
2022-03-24 15:25:00: Sum=3289, StdDev=1.9118147929308256
2022-03-24 15:40:00: Sum=3239, StdDev=1.9482752739820615
2022-03-24 15:55:00: Sum=3160, StdDev=1.834511406005815
2022-03-24 16:10:00: Sum=3224, StdDev=1.791621101918457
2022-03-24 16:25:00: Sum=3272, StdDev=1.9196244488678922
2022-03-24 16:40:00: Sum=3247, StdDev=1.9517927814520666
2022-03-24 16:55:00: Sum=3156, StdDev=1.797825847455136
2022-03-24 17:10:00: Sum=3211, StdDev=1.8585733942269793
2022-03-24 17:25:00: Sum=3275, StdDev=1.9702337393452385
2022-03-24 17:40:00: Sum=3256, StdDev=1.86979367713706
2022-03-24 17:55:00: Sum=3202, StdDev=1.9356295431706612
2022-03-24 18:10:00: Sum=3140, StdDev=1.8573843283526101
2022-03-24 18:25:00: Sum=3237, StdDev=1.8852026121584091
2022-03-24 18:40:00: Sum=3147, StdDev=1.7935037093788113
2022-03-24 18:55:00: Sum=3305, StdDev=1.9562735424371271
2022-03-24 19:10:00: Sum=3295, StdDev=1.8972608585621795
2022-03-24 19:25:00: Sum=3118, StdDev=1.8926354999847352
2022-03-24 19:40:00: Sum=3297, StdDev=1.8976564494133283
2022-03-24 19:55:00: Sum=3182, StdDev=1.9849047618412947
2022-03-24 20:10:00: Sum=3250, StdDev=1.8719831697038094
2022-03-24 20:25:00: Sum=3168, StdDev=1.8591037267099078
2022-03-24 20:40:00: Sum=3151, StdDev=1.8953155377546822
2022-03-24 20:55:00: Sum=3259, StdDev=2.0038293586943556
2022-03-24 21:10:00: Sum=3149, StdDev=1.890032007044939
2022-03-24 21:25:00: Sum=3155, StdDev=1.8284699803758888
2022-03-24 21:40:00: Sum=3284, StdDev=1.9163184868935217
2022-03-24 21:55:00: Sum=3285, StdDev=1.9387137775110361
2022-03-24 22:10:00: Sum=3180, StdDev=1.8092355660149215
2022-03-24 22:25:00: Sum=3290, StdDev=1.9497071638303423
2022-03-24 22:40:00: Sum=3156, StdDev=1.8847222017522312
2022-03-24 22:55:00: Sum=3273, StdDev=1.877406603683804
2022-03-24 23:10:00: Sum=3193, StdDev=1.9410608655965986
2022-03-24 23:25:00: Sum=3167, StdDev=1.8674637848307316
2022-03-24 23:40:00: Sum=3183, StdDev=1.8030190730488065
2022-03-24 23:55:00: Sum=3157, StdDev=1.8711094615986397
2022-03-25 00:10:00: Sum=3235, StdDev=1.8369576969127277
2022-03-25 00:25:00: Sum=3098, StdDev=1.864282869439064
2022-03-25 00:40:00: Sum=3220, StdDev=1.9251422907167597
2022-03-25 00:55:00: Sum=3238, StdDev=1.9138081743986417
2022-03-25 01:10:00: Sum=3169, StdDev=1.891089894123048
2022-03-25 01:25:00: Sum=3271, StdDev=1.8817049663129748
2022-03-25 01:40:00: Sum=3249, StdDev=1.9894471593887586
2022-03-25 01:55:00: Sum=3131, StdDev=1.9097989681548766
2022-03-25 02:10:00: Sum=3229, StdDev=1.8263702787391523
2022-03-25 02:25:00: Sum=3255, StdDev=1.8561459473268198
2022-03-25 02:40:00: Sum=3307, StdDev=1.8913875630288592
2022-03-25 02:55:00: Sum=3175, StdDev=1.9391594844604298
2022-03-25 03:10:00: Sum=3360, StdDev=1.8903262505010434
2022-03-25 03:25:00: Sum=3230, StdDev=1.9430471169700008
2022-03-25 03:40:00: Sum=3244, StdDev=1.8900858952328132
2022-03-25 03:55:00: Sum=3178, StdDev=1.7851638234468035
2022-03-25 04:10:00: Sum=3142, StdDev=1.8999792071636785
2022-03-25 04:25:00: Sum=3221, StdDev=1.881901783034294
2022-03-25 04:40:00: Sum=3211, StdDev=1.920898388068445
2022-03-25 04:55:00: Sum=3286, StdDev=1.925977064848122
2022-03-25 05:10:00: Sum=3208, StdDev=1.8472989958983124
2022-03-25 05:25:00: Sum=3218, StdDev=1.9090027129432507
2022-03-25 05:40:00: Sum=3180, StdDev=1.9561867668161612
2022-03-25 05:55:00: Sum=3266, StdDev=1.9539273524789587
2022-03-25 06:10:00: Sum=3261, StdDev=1.8724048707477772
2022-03-25 06:25:00: Sum=3257, StdDev=1.862578525977388
2022-03-25 06:40:00: Sum=3176, StdDev=1.8856914113304521
2022-03-25 06:55:00: Sum=3215, StdDev=1.9126205279538901
2022-03-25 07:10:00: Sum=3200, StdDev=1.8997725659849747
2022-03-25 07:25:00: Sum=3203, StdDev=1.9107528734009211
2022-03-25 07:40:00: Sum=3247, StdDev=1.876919922389266
2022-03-25 07:55:00: Sum=3153, StdDev=1.9191983280063116
2022-03-25 08:10:00: Sum=3092, StdDev=1.8574959913885927
2022-03-25 08:25:00: Sum=3150, StdDev=1.8502252115170557
2022-03-25 08:40:00: Sum=3233, StdDev=1.972968872749772
2022-03-25 08:55:00: Sum=3158, StdDev=1.8248071097116871
2022-03-25 09:10:00: Sum=3180, StdDev=1.8726095873584185
2022-03-25 09:25:00: Sum=3228, StdDev=1.8909844584824653
2022-03-25 09:40:00: Sum=3107, StdDev=1.9238114817424161
2022-03-25 09:55:00: Sum=3210, StdDev=1.8321208111548393
2022-03-25 10:10:00: Sum=3233, StdDev=1.82493395787828
2022-03-25 10:25:00: Sum=3132, StdDev=1.8307982472741835
2022-03-25 10:40:00: Sum=3205, StdDev=1.941831577800508
2022-03-25 10:55:00: Sum=3284, StdDev=1.9751368135141336
2022-03-25 11:10:00: Sum=3173, StdDev=1.877472361750181
2022-03-25 11:25:00: Sum=3199, StdDev=1.85302522085799
2022-03-25 11:40:00: Sum=3197, StdDev=1.8668290273305561
2022-03-25 11:55:00: Sum=3270, StdDev=1.939931270260195
2022-03-25 12:10:00: Sum=3252, StdDev=1.8401207689835044
2022-03-25 12:25:00: Sum=3198, StdDev=1.8644153090029176
2022-03-25 12:40:00: Sum=3235, StdDev=1.935335808421377
2022-03-25 12:55:00: Sum=3252, StdDev=1.865904606350496
2022-03-25 13:10:00: Sum=3353, StdDev=1.9650310210223774
2022-03-25 13:25:00: Sum=3199, StdDev=1.9120472513403075
2022-03-25 13:40:00: Sum=3191, StdDev=1.908208066404541
2022-03-25 13:55:00: Sum=3215, StdDev=1.8821694207469906
2022-03-25 14:10:00: Sum=3158, StdDev=1.8711045130524997
2022-03-25 14:25:00: Sum=3333, StdDev=1.9292456787275407
2022-03-25 14:40:00: Sum=3129, StdDev=1.8554753808361049
2022-03-25 14:55:00: Sum=3147, StdDev=1.8717163840235576
2022-03-25 15:10:00: Sum=3167, StdDev=1.8864071932553246
2022-03-25 15:25:00: Sum=3303, StdDev=1.8687458658445537
2022-03-25 15:40:00: Sum=3167, StdDev=1.9346773744502923
2022-03-25 15:55:00: Sum=3224, StdDev=1.9341709552029307
2022-03-25 16:10:00: Sum=3224, StdDev=1.830881862672119
2022-03-25 16:25:00: Sum=3239, StdDev=1.8892087964391893
2022-03-25 16:40:00: Sum=3152, StdDev=1.9318947393558008
2022-03-25 16:55:00: Sum=3196, StdDev=1.8787255990546383
2022-03-25 17:10:00: Sum=3202, StdDev=1.8737945919549202
2022-03-25 17:25:00: Sum=3349, StdDev=1.9813011686736708
2022-03-25 17:40:00: Sum=3111, StdDev=1.8610958540004805
