2013-10-11 11:40:00: Sum=2097, StdDev=1.5744452285734736
2013-10-11 11:55:00: Sum=2121, StdDev=1.4931361476957001
2013-10-11 12:10:00: Sum=2161, StdDev=1.5420761218020655
2013-10-11 12:25:00: Sum=2085, StdDev=1.5601816133600173
2013-10-11 12:40:00: Sum=2091, StdDev=1.5300363103897603
2013-10-11 12:55:00: Sum=2104, StdDev=1.445035776395079
2013-10-11 13:10:00: Sum=2001, StdDev=1.5542450829189642
2013-10-11 13:25:00: Sum=2074, StdDev=1.4759487427949607
2013-10-11 13:40:00: Sum=2015, StdDev=1.4770988415317106
2013-10-11 13:55:00: Sum=2045, StdDev=1.5319941817250828
2013-10-11 14:10:00: Sum=2015, StdDev=1.498013087351557
2013-10-11 14:25:00: Sum=1994, StdDev=1.495988050391306
2013-10-11 14:40:00: Sum=2012, StdDev=1.5413061640563255
2013-10-11 14:55:00: Sum=1759, StdDev=1.374826139400996
2013-10-11 15:10:00: Sum=1751, StdDev=1.4198326279382456
2013-10-11 15:25:00: Sum=1793, StdDev=1.4122265932269098
2013-10-11 15:40:00: Sum=1746, StdDev=1.4058449416631977
2013-10-11 15:55:00: Sum=1714, StdDev=1.3702320250487272
2013-10-11 16:10:00: Sum=1710, StdDev=1.3312483698477238
2013-10-11 16:25:00: Sum=1782, StdDev=1.3571375104322414
2013-10-11 16:40:00: Sum=1873, StdDev=1.5066810061592293
2013-10-11 16:55:00: Sum=2088, StdDev=1.529647744489633
2013-10-11 17:10:00: Sum=2082, StdDev=1.505412457324127
2013-10-11 17:25:00: Sum=2091, StdDev=1.5242156452855786
2013-10-11 17:40:00: Sum=2121, StdDev=1.4916471134658864
2013-10-11 17:55:00: Sum=2120, StdDev=1.5056273045634212
2013-10-11 18:10:00: Sum=2148, StdDev=1.5703644304569702
2013-10-11 18:25:00: Sum=1987, StdDev=1.4484265622298012
2013-10-11 18:40:00: Sum=2132, StdDev=1.478561195851069
2013-10-11 18:55:00: Sum=2105, StdDev=1.512040155584092
2013-10-11 19:10:00: Sum=2076, StdDev=1.5214612858842138
2013-10-11 19:25:00: Sum=2129, StdDev=1.567280809492182
2013-10-11 19:40:00: Sum=2066, StdDev=1.599090791051181
2013-10-11 19:55:00: Sum=2024, StdDev=1.5550094279417264
2013-10-11 20:10:00: Sum=2061, StdDev=1.5214430284729328
2013-10-11 20:25:00: Sum=2110, StdDev=1.5279696849167825
2013-10-11 20:40:00: Sum=2173, StdDev=1.534207077947658
2013-10-11 20:55:00: Sum=2095, StdDev=1.5370626950111899
2013-10-11 21:10:00: Sum=2174, StdDev=1.5665185115132154
2013-10-11 21:25:00: Sum=2218, StdDev=1.5712211182609328
2013-10-11 21:40:00: Sum=2039, StdDev=1.5105305257212787
2013-10-11 21:55:00: Sum=2092, StdDev=1.4926718111502169
2013-10-11 22:10:00: Sum=2137, StdDev=1.605826966679032
2013-10-11 22:25:00: Sum=2248, StdDev=1.575857986958764
2013-10-11 22:40:00: Sum=2057, StdDev=1.5208229578540042
2013-10-11 22:55:00: Sum=2136, StdDev=1.5650914066312904
2013-10-11 23:10:00: Sum=1997, StdDev=1.526753596101832
2013-10-11 23:25:00: Sum=2130, StdDev=1.5898986690282426
2013-10-11 23:40:00: Sum=2095, StdDev=1.486347333250788
2013-10-11 23:55:00: Sum=2173, StdDev=1.5742413418752335
2013-10-12 00:10:00: Sum=2070, StdDev=1.5198684153570663
2013-10-12 00:25:00: Sum=2125, StdDev=1.499495800034461
2013-10-12 00:40:00: Sum=2100, StdDev=1.5641824275533422
2013-10-12 00:55:00: Sum=2043, StdDev=1.4342593907658403
