2021-06-28 14:55:00: Sum=2729, StdDev=1.730788373852138
2021-06-28 15:10:00: Sum=2743, StdDev=1.7329953374161666
2021-06-28 15:25:00: Sum=2826, StdDev=1.8081174986401987
2021-06-28 15:40:00: Sum=2806, StdDev=1.7215998875579386
2021-06-28 15:55:00: Sum=2872, StdDev=1.848461489061433
2021-06-28 16:10:00: Sum=2799, StdDev=1.8209002657415858
2021-06-28 16:25:00: Sum=2720, StdDev=1.7930593209358863
2021-06-28 16:40:00: Sum=2747, StdDev=1.6933023473397102
2021-06-28 16:55:00: Sum=2773, StdDev=1.7407146964166722
2021-06-28 17:10:00: Sum=2756, StdDev=1.8087796854833604
2021-06-28 17:25:00: Sum=2738, StdDev=1.7154188201121794
2021-06-28 17:40:00: Sum=2699, StdDev=1.7323711717017256
2021-06-28 17:55:00: Sum=2728, StdDev=1.6948054260294203
2021-06-28 18:10:00: Sum=2791, StdDev=1.7844385637096956
2021-06-28 18:25:00: Sum=2765, StdDev=1.8136230024626752
2021-06-28 18:40:00: Sum=2723, StdDev=1.7283300296407584
2021-06-28 18:55:00: Sum=2731, StdDev=1.7035688755023222
2021-06-28 19:10:00: Sum=2689, StdDev=1.7194526117199675
2021-06-28 19:25:00: Sum=2768, StdDev=1.7342504696144743
2021-06-28 19:40:00: Sum=2732, StdDev=1.775406752212706
2021-06-28 19:55:00: Sum=2737, StdDev=1.7535611033579288
2021-06-28 20:10:00: Sum=2727, StdDev=1.7480751318712437
2021-06-28 20:25:00: Sum=2788, StdDev=1.7973423452900785
2021-06-28 20:40:00: Sum=2777, StdDev=1.7264003083559032
2021-06-28 20:55:00: Sum=2810, StdDev=1.7290188468722676
2021-06-28 21:10:00: Sum=2787, StdDev=1.737363903542759
2021-06-28 21:25:00: Sum=2699, StdDev=1.7342942493158064
2021-06-28 21:40:00: Sum=2666, StdDev=1.677536406478777
2021-06-28 21:55:00: Sum=2792, StdDev=1.6794825775800897
2021-06-28 22:10:00: Sum=2711, StdDev=1.7903648155723755
2021-06-28 22:25:00: Sum=2749, StdDev=1.8542240731853976
2021-06-28 22:40:00: Sum=2653, StdDev=1.752631531141277
2021-06-28 22:55:00: Sum=2756, StdDev=1.757686470447748
2021-06-28 23:10:00: Sum=2724, StdDev=1.7736841758203616
2021-06-28 23:25:00: Sum=2779, StdDev=1.7619640416168025
2021-06-28 23:40:00: Sum=2820, StdDev=1.7543596489254356
2021-06-28 23:55:00: Sum=2781, StdDev=1.6572098371794817
2021-06-29 00:10:00: Sum=2687, StdDev=1.7252414395357418
2021-06-29 00:25:00: Sum=2729, StdDev=1.783275873079141
2021-06-29 00:40:00: Sum=2771, StdDev=1.7585975753704328
2021-06-29 00:55:00: Sum=2730, StdDev=1.6881943016134133
2021-06-29 01:10:00: Sum=2744, StdDev=1.7863211385068878
2021-06-29 01:25:00: Sum=2597, StdDev=1.607348479889308
2021-06-29 01:40:00: Sum=2899, StdDev=1.8430044579703995
2021-06-29 01:55:00: Sum=2769, StdDev=1.731316133915339
2021-06-29 02:10:00: Sum=2830, StdDev=1.7886128151361143
2021-06-29 02:25:00: Sum=2721, StdDev=1.769654705804999
2021-06-29 02:40:00: Sum=2789, StdDev=1.8019122215915477
2021-06-29 02:55:00: Sum=2760, StdDev=1.7178798302300167
2021-06-29 03:10:00: Sum=2783, StdDev=1.7522511094638475
2021-06-29 03:25:00: Sum=2791, StdDev=1.788170663272288
2021-06-29 03:40:00: Sum=2727, StdDev=1.711461363864227
2021-06-29 03:55:00: Sum=2699, StdDev=1.7835666167943407
2021-06-29 04:10:00: Sum=2690, StdDev=1.7422491494517747
2021-06-29 04:25:00: Sum=2833, StdDev=1.8016491073937897
2021-06-29 04:40:00: Sum=2722, StdDev=1.7344426649574471
2021-06-29 04:55:00: Sum=2731, StdDev=1.7249580420733661
2021-06-29 05:10:00: Sum=2818, StdDev=1.6827652139951368
2021-06-29 05:25:00: Sum=2733, StdDev=1.7498539621605251
2021-06-29 05:40:00: Sum=2661, StdDev=1.6915837418098922
2021-06-29 05:55:00: Sum=2776, StdDev=1.725489374133296
2021-06-29 06:10:00: Sum=2727, StdDev=1.69449763122355
2021-06-29 06:25:00: Sum=2735, StdDev=1.7415315382632128
2021-06-29 06:40:00: Sum=2803, StdDev=1.7948111080501612
2021-06-29 06:55:00: Sum=2614, StdDev=1.6963300983208238
2021-06-29 07:10:00: Sum=2714, StdDev=1.7158678472236149
2021-06-29 07:25:00: Sum=2783, StdDev=1.7522511094638475
2021-06-29 07:40:00: Sum=2716, StdDev=1.7255323029126581
2021-06-29 07:55:00: Sum=2721, StdDev=1.7430847496448485
2021-06-29 08:10:00: Sum=2803, StdDev=1.8108353573304297
2021-06-29 08:25:00: Sum=2745, StdDev=1.7495237447183543
2021-06-29 08:40:00: Sum=2744, StdDev=1.7738372995943281
2021-06-29 08:55:00: Sum=2772, StdDev=1.8000740725499789
2021-06-29 09:10:00: Sum=2741, StdDev=1.7534512705018899
2021-06-29 09:25:00: Sum=2743, StdDev=1.8009088926167733
2021-06-29 09:40:00: Sum=2783, StdDev=1.7861645922527085
2021-06-29 09:55:00: Sum=2817, StdDev=1.8456525494613911
2021-06-29 10:10:00: Sum=2751, StdDev=1.7845354204012502
2021-06-29 10:25:00: Sum=2762, StdDev=1.7869057330383804
2021-06-29 10:40:00: Sum=2762, StdDev=1.7980634301284901
2021-06-29 10:55:00: Sum=2768, StdDev=1.7659942815505196
2021-06-29 11:10:00: Sum=2756, StdDev=1.8050901964400423
2021-06-29 11:25:00: Sum=2753, StdDev=1.7313703271907324
2021-06-29 11:40:00: Sum=2722, StdDev=1.7465719510649749
2021-06-29 11:55:00: Sum=2681, StdDev=1.7161322433143693
2021-06-29 12:10:00: Sum=2816, StdDev=1.8556367247715775
2021-06-29 12:25:00: Sum=2731, StdDev=1.6699741256219853
2021-06-29 12:40:00: Sum=2653, StdDev=1.752631531141277
2021-06-29 12:55:00: Sum=2766, StdDev=1.7362667485793255
2021-06-29 13:10:00: Sum=2735, StdDev=1.7235747377306299
2021-06-29 13:25:00: Sum=2750, StdDev=1.6994189275626022
2021-06-29 13:40:00: Sum=2796, StdDev=1.7158606522027884
2021-06-29 13:55:00: Sum=2708, StdDev=1.681245863733496
2021-06-29 14:10:00: Sum=2639, StdDev=1.7226805841657729
2021-06-29 14:25:00: Sum=2701, StdDev=1.722078488625781
2021-06-29 14:40:00: Sum=2669, StdDev=1.7172109888557416
2021-06-29 14:55:00: Sum=2767, StdDev=1.812920364195179
2021-06-29 15:10:00: Sum=2771, StdDev=1.7541692838900156
2021-06-29 15:25:00: Sum=2787, StdDev=1.745021489839022
2021-06-29 15:40:00: Sum=2733, StdDev=1.7139266158282402
